Type,Name,OID,Code System,Code System OID,Status,Condition Name,Condition Code,Condition Code System
Diagnosis Problem,Cleft Palate Alone (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.2118,ICD10CM,2.16.840.1.113883.6.90,Published,Cleft palate (disorder),87979003,SNOMEDCT
Diagnosis Problem,Cleft Palate Alone (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.2117,SNOMEDCT,2.16.840.1.113883.6.96,Published,Cleft palate (disorder),87979003,SNOMEDCT
Diagnosis Problem,Cleft Lip with Cleft Palate (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.2120,ICD10CM,2.16.840.1.113883.6.90,Published,Cleft palate with cleft lip (disorder),66948001,SNOMEDCT
Diagnosis Problem,Cleft Lip with Cleft Palate (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.2119,SNOMEDCT,2.16.840.1.113883.6.96,Published,Cleft palate with cleft lip (disorder),66948001,SNOMEDCT
Diagnosis Problem,Clostridioides difficile infection (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1487,SNOMEDCT,2.16.840.1.113883.6.96,Published,Clostridioides difficile infection (disorder) ,186431008,SNOMEDCT
Diagnosis Problem,Clostridioides difficile infection (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1488,ICD10CM,2.16.840.1.113883.6.90,Published,Clostridioides difficile infection (disorder) ,186431008,SNOMEDCT
Diagnosis Problem,Coal Workers’ Pneumoconiosis (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1806,ICD10CM,2.16.840.1.113883.6.90,Published,Coal workers' pneumoconiosis (disorder),29422001,SNOMEDCT
Diagnosis Problem,Interstitial Lung Disease (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1808,ICD10CM,2.16.840.1.113883.6.90,Published,Coal workers' pneumoconiosis (disorder),29422001,SNOMEDCT
Diagnosis Problem,Coal Workers’ Pneumoconiosis (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1805,SNOMEDCT,2.16.840.1.113883.6.96,Published,Coal workers' pneumoconiosis (disorder),29422001,SNOMEDCT
Diagnosis Problem,Interstitial Lung Disease (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1807,SNOMEDCT,2.16.840.1.113883.6.96,Published,Coal workers' pneumoconiosis (disorder),29422001,SNOMEDCT
Diagnosis Problem,Interstitial Pulmonary Fibrosis [Unspecified Cause] (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1810,ICD10CM,2.16.840.1.113883.6.90,Published,Coal workers' pneumoconiosis (disorder),29422001,SNOMEDCT
Diagnosis Problem,Interstitial Pulmonary Fibrosis [Unspecified Cause] (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1809,SNOMEDCT,2.16.840.1.113883.6.96,Published,Coal workers' pneumoconiosis (disorder),29422001,SNOMEDCT
Diagnosis Problem,Pneumoconiosis (Unspecified) (SNOMED),2.16.840.1.113762.1.4.1146.823,SNOMEDCT,2.16.840.1.113883.6.96,Published,Coal workers' pneumoconiosis (disorder),29422001,SNOMEDCT
Diagnosis Problem,Pneumoconiosis (Unspecified) (ICD10CM),2.16.840.1.113762.1.4.1146.822,ICD10CM,2.16.840.1.113883.6.90,Published,Coal workers' pneumoconiosis (disorder),29422001,SNOMEDCT
Diagnosis Problem,Coccidioidomycosis (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.182,ICD10CM,2.16.840.1.113883.6.90,Published,Coccidioidomycosis (disorder),60826002,SNOMEDCT
Diagnosis Problem,Coccidioidomycosis (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.181,SNOMEDCT,2.16.840.1.113883.6.96,Published,Coccidioidomycosis (disorder),60826002,SNOMEDCT
Diagnosis Problem,Colorado Tick Fever (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1397,SNOMEDCT,2.16.840.1.113883.6.96,Published,Colorado tick fever (disorder),6452009,SNOMEDCT
Diagnosis Problem,Colorado Tick Fever (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1396,ICD10CM,2.16.840.1.113883.6.90,Published,Colorado tick fever (disorder),6452009,SNOMEDCT
Diagnosis Problem,Down Syndrome (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.2125,ICD10CM,2.16.840.1.113883.6.90,Published,Complete trisomy 21 syndrome (disorder),41040004,SNOMEDCT
Diagnosis Problem,Down Syndrome (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.2124,SNOMEDCT,2.16.840.1.113883.6.96,Published,Complete trisomy 21 syndrome (disorder),41040004,SNOMEDCT
Diagnosis Problem,Fetal Down Syndrome (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.2126,SNOMEDCT,2.16.840.1.113883.6.96,Published,Complete trisomy 21 syndrome (disorder),41040004,SNOMEDCT
Diagnosis Problem,Fetal Down Syndrome (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.2127,ICD10CM,2.16.840.1.113883.6.90,Published,Complete trisomy 21 syndrome (disorder),41040004,SNOMEDCT
Diagnosis Problem,Vaccinia disease or adverse event  (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1606,SNOMEDCT,2.16.840.1.113883.6.96,Published,Complication of smallpox vaccination (disorder),409636005,SNOMEDCT
Diagnosis Problem,Vaccinia disease or adverse event (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1607,ICD10CM,2.16.840.1.113883.6.90,Published,Complication of smallpox vaccination (disorder),409636005,SNOMEDCT
Diagnosis Problem,Ventilator associated event (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1843,ICD10CM,2.16.840.1.113883.6.90,Published,Complication of ventilation therapy (disorder),71695001,SNOMEDCT
Diagnosis Problem,Ventilator associated event (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1842,SNOMEDCT,2.16.840.1.113883.6.96,Published,Complication of ventilation therapy (disorder),71695001,SNOMEDCT
Diagnosis Problem,Neonatal herpes (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1883,SNOMEDCT,2.16.840.1.113883.6.96,Published,Congenital herpes simplex (disorder),91576008,SNOMEDCT
Diagnosis Problem,Neonatal herpes (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1884,ICD10CM,2.16.840.1.113883.6.90,Published,Congenital herpes simplex (disorder),91576008,SNOMEDCT
Diagnosis Problem,Congenital Hypothyroidism [Unspecified] (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.2155,ICD10CM,2.16.840.1.113883.6.90,Published,Congenital hypothyroidism (disorder),190268003,SNOMEDCT
Diagnosis Problem,Primary Congenital Hypothyroidism (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.2153,SNOMEDCT,2.16.840.1.113883.6.96,Published,Congenital hypothyroidism (disorder),190268003,SNOMEDCT
Diagnosis Problem,Congenital Hypothyroidism [Unspecified] (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.2154,SNOMEDCT,2.16.840.1.113883.6.96,Published,Congenital hypothyroidism (disorder),190268003,SNOMEDCT
Diagnosis Problem,Congenital Rubella Syndrome (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.783,SNOMEDCT,2.16.840.1.113883.6.96,Published,Congenital rubella syndrome (disorder),1857005,SNOMEDCT
Diagnosis Problem,Congenital Rubella Syndrome (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.315,ICD10CM,2.16.840.1.113883.6.90,Published,Congenital rubella syndrome (disorder),1857005,SNOMEDCT
Diagnosis Problem,Rubella (Maternal Rubella during Pregnancy) (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.784,SNOMEDCT,2.16.840.1.113883.6.96,Published,Congenital rubella syndrome (disorder),1857005,SNOMEDCT
Diagnosis Problem,Syphilis [Congenital] (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1090,SNOMEDCT,2.16.840.1.113883.6.96,Published,Congenital syphilis (disorder),35742006,SNOMEDCT
Diagnosis Problem,Syphilis [Congenital] (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1089,ICD10CM,2.16.840.1.113883.6.90,Published,Congenital syphilis (disorder),35742006,SNOMEDCT
Diagnosis Problem,Acute Hepatitis B Virus Infection (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.129,SNOMEDCT,2.16.840.1.113883.6.96,Published,Congenital viral hepatitis B infection (disorder),60498001,SNOMEDCT
Diagnosis Problem,Unspecified Hepatitis B Virus Infection (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.734,SNOMEDCT,2.16.840.1.113883.6.96,Published,Congenital viral hepatitis B infection (disorder),60498001,SNOMEDCT
Diagnosis Problem,Chronic Hepatitis B Virus Infection (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.135,SNOMEDCT,2.16.840.1.113883.6.96,Published,Congenital viral hepatitis B infection (disorder),60498001,SNOMEDCT
Diagnosis Problem,Chronic Hepatitis B Virus Infection (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.141,ICD10CM,2.16.840.1.113883.6.90,Published,Congenital viral hepatitis B infection (disorder),60498001,SNOMEDCT
Diagnosis Problem,Acute Hepatitis B Virus Infection (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.131,ICD10CM,2.16.840.1.113883.6.90,Published,Congenital viral hepatitis B infection (disorder),60498001,SNOMEDCT
Diagnosis Problem,Unspecified Hepatitis B Virus Infection (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.701,ICD10CM,2.16.840.1.113883.6.90,Published,Congenital viral hepatitis B infection (disorder),60498001,SNOMEDCT
Diagnosis Problem,Perinatal Hepatitis B Virus Infection (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.733,SNOMEDCT,2.16.840.1.113883.6.96,Published,Congenital viral hepatitis B infection (disorder),60498001,SNOMEDCT
Diagnosis Problem,Cryptococcosis (Disorders) (ICD10CM),2.16.840.1.113762.1.4.1146.1515,ICD10CM,2.16.840.1.113883.6.90,Published,Cryptococcosis (disorder)  ,42386007,SNOMEDCT
Diagnosis Problem,Cryptococcosis (Disorders) (SNOMED),2.16.840.1.113762.1.4.1146.1516,SNOMEDCT,2.16.840.1.113883.6.96,Published,Cryptococcosis (disorder)  ,42386007,SNOMEDCT
